,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
3408,2021 Renault Kiger RXZ Turbo CVT,15K km, · Petrol, · Automatic,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹10.76 Lakh
3409,2013 Hyundai Neo Fluidic Elantra 1.6 SX AT CRDi,98K km, · Diesel, · Automatic,"Ground clearance
175 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
56 litres
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹7.18 Lakh
3410,2020 Maruti Suzuki Dzire VXI,20K km, · Petrol, · Manual,,"Mileage (ARAI)
23.26 kmpl
Ground clearance
170 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
VIEW ALL SPECIFICATIONS",₹7.49 Lakh
3411,2020 Maruti Suzuki Swift ZXI Plus,72K km, · Petrol, · Manual,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.25 Lakh
3412,2015 Maruti Suzuki Alto 800 LXI,21K km, · Petrol, · Manual,"Mileage (ARAI)
22.74 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
47.3 bhp
VIEW ALL SPECIFICATIONS",,₹3.12 Lakh
3413,2017 Maruti Suzuki Celerio VXI AMT,35K km, · Petrol, · Automatic,"Mileage (ARAI)
23.1 kmpl
Ground clearance
165 mm
Boot space
235 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.04 bhp
VIEW ALL SPECIFICATIONS",,₹4.96 Lakh
3414,2016 Hyundai Elite i20 Sportz 1.2,54K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.43 Lakh
3415,2019 Hyundai Venue SX 1.4 CRDI,79K km, · Diesel, · Manual,"Mileage (ARAI)
23.7 kmpl
Ground clearance
190 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
98.6 bhp
VIEW ALL SPECIFICATIONS",,₹9.36 Lakh
3416,2018 Ford EcoSport Titanium + 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹9.98 Lakh
3417,2012 Hyundai i20 Sportz 1.4 CRDI,45K km, · Diesel, · Manual,"Mileage (ARAI)
14.9 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
90 bhp
VIEW ALL SPECIFICATIONS",,₹5.61 Lakh
3418,2015 Hyundai Elite i20 Sportz 1.2,65K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹5.79 Lakh
3419,2017 Skoda Rapid New Ambition Petrol,29K km, · Petrol, · Manual,"Mileage (ARAI)
15 kmpl
Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
103 bhp
Max torque
153 nm
VIEW ALL SPECIFICATIONS",,₹7.26 Lakh
3420,2018 Hyundai Verna 1.6 VTVT SX (O) AT,50K km, · Petrol, · Automatic,"Mileage (ARAI)
17 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
121.3 bhp
VIEW ALL SPECIFICATIONS",,₹10.70 Lakh
3421,2021 Maruti Suzuki S-Presso VXI Plus AT,22K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹5.64 Lakh
3422,2021 Maruti Suzuki S-Presso VXI Plus AT,39K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹5.60 Lakh
3423,2020 Maruti Suzuki S-Presso VXI Plus AT,29K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹5.27 Lakh
3424,2019 Maruti Suzuki XL6 Alpha MT Petrol,21K km, · Petrol, · Manual,"Mileage (ARAI)
19.01 kmpl
Boot space
209 litres
Seating capacity
6 units
Fuel tank capacity
45 litres
Max power
103.2 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",,₹9.76 Lakh
3425,2015 Hyundai Elite i20 Asta 1.2,64K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.41 Lakh
3426,2018 Hyundai Creta 1.6 SX Plus Auto,82K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹12.99 Lakh
3427,2021 Renault Triber RXZ,16K km, · Petrol, · Manual,"Mileage (ARAI)
20 kmpl
Ground clearance
182 mm
Boot space
84 litres
Seating capacity
7 units
Fuel tank capacity
40 litres
Max power
71 bhp
VIEW ALL SPECIFICATIONS",,₹7.64 Lakh
3428,2018 Hyundai Grand i10 Sportz 1.2 CRDi,32K km, · Diesel, · Manual,,"Mileage (ARAI)
24.95 kmpl
Ground clearance
165 mm
Boot space
256 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",₹6.71 Lakh
3429,2017 Ford EcoSport Titanium 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,,"Mileage (ARAI)
16.5 kmpl
Ground clearance
200 mm
Boot space
346 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
110 bhp
VIEW ALL SPECIFICATIONS",₹8.58 Lakh
3430,2014 Chevrolet Beat LS Petrol,45K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
165 mm
Boot space
170 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
79 bhp
VIEW ALL SPECIFICATIONS",₹3.18 Lakh
3431,2019 Honda WR-V i-DTEC VX,84K km, · Diesel, · Manual,,"Mileage (ARAI)
23.7 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
97.89 bhp
VIEW ALL SPECIFICATIONS",₹8.82 Lakh
3432,2017 Maruti Suzuki Baleno Zeta Petrol,51K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.64 Lakh
3433,2016 Maruti Suzuki Alto K10 VXI (O),80K km, · Petrol, · Manual,,"Mileage (ARAI)
24.07 kmpl
Ground clearance
160 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67 bhp
Max torque
90 nm
VIEW ALL SPECIFICATIONS",₹3.07 Lakh
3434,2019 Ford EcoSport Signature Edition Petrol,49K km, · Petrol, · Manual,,"Mileage (ARAI)
18.88 kmpl
Ground clearance
200 mm
Boot space
346 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
110.4 bhp
VIEW ALL SPECIFICATIONS",₹9.49 Lakh
3435,2020 Ford Freestyle Titanium Plus 1.5 TDCI,50K km, · Diesel, · Manual,,"Mileage (ARAI)
23.8 kmpl
Ground clearance
190 mm
Boot space
257 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
1499 cc
VIEW ALL SPECIFICATIONS",₹7.40 Lakh
3436,2020 Kia Seltos GTX DCT,22K km, · Petrol, · Automatic,,"Mileage (ARAI)
16.1 kmpl
Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹16.39 Lakh
3437,2020 Ford Freestyle Titanium 1.2,15K km, · Petrol, · Manual,,"Mileage (ARAI)
18.5 kmpl
Boot space
257 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
94.93 bhp
Max torque
119 nm
VIEW ALL SPECIFICATIONS",₹6.93 Lakh
3438,2022 Tata Tigor Revotron XZ+,3K km, · Petrol, · Manual,"Boot space
419 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1199 cc
VIEW ALL SPECIFICATIONS",,₹7.53 Lakh
3439,2020 Ford EcoSport Titanium + 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹10.01 Lakh
3440,2019 Mahindra XUV500 W5,79K km, · Diesel, · Manual,,"Mileage (ARAI)
15.1 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
152 bhp
Max torque
360 nm
VIEW ALL SPECIFICATIONS",₹9.91 Lakh
3441,2017 Nissan Terrano XV Premium amt diesel,53K km, · Diesel, · Automatic,"Mileage (ARAI)
19.61 kmpl
Ground clearance
205 mm
Boot space
475 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108 bhp
VIEW ALL SPECIFICATIONS",,₹6.99 Lakh
3442,2017 Maruti Suzuki Ertiga VXI CNG,50K km, · Petrol+cng, · Manual,"Mileage (ARAI)
26 kmpl
Ground clearance
185 mm
Boot space
209 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
91.19 bhp
VIEW ALL SPECIFICATIONS",,₹8.51 Lakh
3443,2014 Hyundai i20 Asta 1.4 CRDI,66K km, · Diesel, · Manual,,"Mileage (ARAI)
21.93 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹5.07 Lakh
3444,2017 Maruti Suzuki Dzire VDi AMT,50K km, · Diesel, · Automatic,"Mileage (ARAI)
28.4 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
74 bhp
Max torque
190 nm
VIEW ALL SPECIFICATIONS",,₹6.63 Lakh
3445,2017 Maruti Suzuki Vitara Brezza ZDi,78K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹7.54 Lakh
3446,2017 Honda WR-V VX i-VTEC,47K km, · Petrol, · Manual,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",,₹6.09 Lakh
3447,2015 Skoda Superb Elegance 1.8 TSI AT,58K km, · Petrol, · Automatic,"Mileage (ARAI)
13.1 kmpl
Ground clearance
159 mm
Boot space
565 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
158 bhp
VIEW ALL SPECIFICATIONS",,₹10.12 Lakh
3448,2016 Honda Jazz V,67K km, · Petrol, · Manual,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",,₹4.53 Lakh
3449,2021 Tata Safari XT,25K km, · Diesel, · Manual,"Mileage (ARAI)
16.1 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Max power
168 bhp
Max torque
350 nm
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",,₹16.97 Lakh
3450,2019 Tata Hexa XT 4X4,9K km, · Diesel, · Manual,"Ground clearance
200 mm
Boot space
128 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Displacement
2179 cc
VIEW ALL SPECIFICATIONS",,₹14.12 Lakh
3451,2014 Maruti Suzuki Swift ZXI,31K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.62 Lakh
3452,2021 Maruti Suzuki Ciaz Delta AT Petrol,8K km, · Petrol, · Automatic,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹10.73 Lakh
3453,2015 Volkswagen Vento Comfortline Diesel,80K km, · Diesel, · Manual,,"Mileage (ARAI)
20.5 kmpl
Ground clearance
168 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
103 bhp
VIEW ALL SPECIFICATIONS",₹4.67 Lakh
3454,2021 Tata Harrier XZ Plus Dual Tone,7K km, · Diesel, · Manual,,"Mileage (ARAI)
16.3 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
168 bhp
VIEW ALL SPECIFICATIONS",₹18.30 Lakh
3455,2018 Maruti Suzuki Ciaz Alpha AT Petrol,44K km, · Petrol, · Automatic,,"Mileage (ARAI)
20 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹7.77 Lakh
3456,2019 Honda Jazz VX MT,10K km, · Petrol, · Manual,,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",₹6.79 Lakh
3457,2017 Honda WR-V i-VTEC S,59K km, · Petrol, · Manual,,"Mileage (ARAI)
17.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.7 bhp
VIEW ALL SPECIFICATIONS",₹5.48 Lakh
3458,2022 Tata Tigor Revotron XZ+,3K km, · Petrol, · Manual,"Boot space
419 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1199 cc
VIEW ALL SPECIFICATIONS",,₹7.53 Lakh
3459,2020 Ford EcoSport Titanium + 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹10.01 Lakh
3460,2019 Mahindra XUV500 W5,79K km, · Diesel, · Manual,,"Mileage (ARAI)
15.1 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
152 bhp
Max torque
360 nm
VIEW ALL SPECIFICATIONS",₹9.91 Lakh
3461,2017 Nissan Terrano XV Premium amt diesel,53K km, · Diesel, · Automatic,"Mileage (ARAI)
19.61 kmpl
Ground clearance
205 mm
Boot space
475 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108 bhp
VIEW ALL SPECIFICATIONS",,₹6.99 Lakh
3462,2017 Maruti Suzuki Ertiga VXI CNG,50K km, · Petrol+cng, · Manual,"Mileage (ARAI)
26 kmpl
Ground clearance
185 mm
Boot space
209 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
91.19 bhp
VIEW ALL SPECIFICATIONS",,₹8.51 Lakh
3463,2014 Hyundai i20 Asta 1.4 CRDI,66K km, · Diesel, · Manual,,"Mileage (ARAI)
21.93 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹5.07 Lakh
3464,2017 Maruti Suzuki Dzire VDi AMT,50K km, · Diesel, · Automatic,"Mileage (ARAI)
28.4 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
74 bhp
Max torque
190 nm
VIEW ALL SPECIFICATIONS",,₹6.63 Lakh
3465,2017 Maruti Suzuki Vitara Brezza ZDi,78K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹7.54 Lakh
3466,2017 Honda WR-V VX i-VTEC,47K km, · Petrol, · Manual,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",,₹6.09 Lakh
3467,2015 Skoda Superb Elegance 1.8 TSI AT,58K km, · Petrol, · Automatic,"Mileage (ARAI)
13.1 kmpl
Ground clearance
159 mm
Boot space
565 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
158 bhp
VIEW ALL SPECIFICATIONS",,₹10.12 Lakh
3468,2016 Honda Jazz V,67K km, · Petrol, · Manual,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",,₹4.53 Lakh
3469,2021 Tata Safari XT,25K km, · Diesel, · Manual,"Mileage (ARAI)
16.1 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Max power
168 bhp
Max torque
350 nm
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",,₹16.97 Lakh
3470,2019 Tata Hexa XT 4X4,9K km, · Diesel, · Manual,"Ground clearance
200 mm
Boot space
128 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Displacement
2179 cc
VIEW ALL SPECIFICATIONS",,₹14.12 Lakh
3471,2014 Maruti Suzuki Swift ZXI,31K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.62 Lakh
3472,2021 Maruti Suzuki Ciaz Delta AT Petrol,8K km, · Petrol, · Automatic,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹10.73 Lakh
3473,2015 Volkswagen Vento Comfortline Diesel,80K km, · Diesel, · Manual,,"Mileage (ARAI)
20.5 kmpl
Ground clearance
168 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
103 bhp
VIEW ALL SPECIFICATIONS",₹4.67 Lakh
3474,2021 Tata Harrier XZ Plus Dual Tone,7K km, · Diesel, · Manual,,"Mileage (ARAI)
16.3 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
168 bhp
VIEW ALL SPECIFICATIONS",₹18.30 Lakh
3475,2018 Maruti Suzuki Ciaz Alpha AT Petrol,44K km, · Petrol, · Automatic,,"Mileage (ARAI)
20 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹7.77 Lakh
3476,2019 Honda Jazz VX MT,10K km, · Petrol, · Manual,,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",₹6.79 Lakh
3477,2017 Honda WR-V i-VTEC S,59K km, · Petrol, · Manual,,"Mileage (ARAI)
17.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.7 bhp
VIEW ALL SPECIFICATIONS",₹5.48 Lakh
3478,2018 Mahindra XUV500 W11 AT,29K km, · Diesel, · Automatic,"Mileage (ARAI)
15.1 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
152.87 bhp
Max torque
360 nm
VIEW ALL SPECIFICATIONS",,₹15.13 Lakh
3479,2013 Hyundai i20 Asta 1.4 CRDI,54K km, · Diesel, · Manual,"Mileage (ARAI)
21.93 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",,₹4.32 Lakh
3480,2021 Maruti Suzuki S-Presso VXI Plus AT,7K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹4.99 Lakh
3481,2019 Kia Seltos HTX G,39K km, · Petrol, · Manual,,"Mileage (ARAI)
16.8 kmpl
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
113.4 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹12.62 Lakh
3482,2020 Maruti Suzuki S-Presso VXI Plus AT,7K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹4.85 Lakh
3483,2018 Tata Nexon XZ Plus Dual Tone Roof Diesel,35K km, · Diesel, · Manual,"Mileage (ARAI)
21.5 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
108.5 bhp
VIEW ALL SPECIFICATIONS",,₹8.96 Lakh
3484,2020 MG Motors Gloster Sharp 2.0 Twin Turbo 7 STR 4WD,30K km, · Diesel, · Automatic,"Displacement
1996 cc
VIEW ALL SPECIFICATIONS",,₹34.48 Lakh
3485,2020 Kia Sonet HTX 1.0 iMT,18K km, · Petrol, · Manual,,"Mileage (ARAI)
18.2 kmpl
Ground clearance
205 mm
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",₹10.22 Lakh
3486,2013 Hyundai Verna Fluidic 1.6 CRDi SX,98K km, · Diesel, · Manual,"Mileage (ARAI)
21.9 kmpl
Ground clearance
170 mm
Boot space
465 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹5.26 Lakh
3487,2015 Skoda Superb Elegance 1.8 TSI AT,57K km, · Petrol, · Automatic,,"Mileage (ARAI)
13.1 kmpl
Ground clearance
159 mm
Boot space
565 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
158 bhp
VIEW ALL SPECIFICATIONS",₹10.33 Lakh
3488,2012 Maruti Suzuki Swift Dzire VXI,60K km, · Petrol, · Manual,,"Mileage (ARAI)
19.1 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
VIEW ALL SPECIFICATIONS",₹4.36 Lakh
3489,2022 Maruti Suzuki Alto K10 VXI,9K km, · Petrol, · Manual,"Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹5.48 Lakh
3490,2017 Hyundai Elite i20 Asta 1.2,61K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.33 Lakh
3491,2016 Hyundai Santa Fe 2 WD AT,94K km, · Diesel, · Automatic,"Seating capacity
7 units
Fuel tank capacity
64 litres
Displacement
2199 cc
VIEW ALL SPECIFICATIONS",,₹12.69 Lakh
3492,2018 Mahindra XUV500 W10,87K km, · Diesel, · Manual,"Mileage (ARAI)
16 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
140 bhp
Max torque
330 nm
VIEW ALL SPECIFICATIONS",,₹13.57 Lakh
3493,2014 Toyota Corolla Altis G Diesel,96K km, · Diesel, · Manual,"Mileage (ARAI)
21.3 kmpl
Ground clearance
175 mm
Boot space
470 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
87 bhp
VIEW ALL SPECIFICATIONS",,₹8.12 Lakh
3494,2021 Renault Kwid 1.0 RXT Opt,9K km, · Petrol, · Manual,"Mileage (ARAI)
22 kmpl
Ground clearance
180 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",,₹4.55 Lakh
3495,2018 Hyundai Xcent SX Petrol,33K km, · Petrol, · Manual,"Mileage (ARAI)
20.14 kmpl
Ground clearance
165 mm
Boot space
407 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81.86 bhp
VIEW ALL SPECIFICATIONS",,₹6.30 Lakh
3496,2015 Hyundai Elite i20 Asta 1.2,39K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹5.94 Lakh
3497,2012 Honda City 1.5 V MT,39K km, · Petrol, · Manual,"Mileage (ARAI)
16.8 kmpl
Seating capacity
5 units
Fuel tank capacity
42 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",,₹4.72 Lakh
3498,2018 Mahindra XUV500 W11 AT,29K km, · Diesel, · Automatic,"Mileage (ARAI)
15.1 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
152.87 bhp
Max torque
360 nm
VIEW ALL SPECIFICATIONS",,₹15.13 Lakh
3499,2013 Hyundai i20 Asta 1.4 CRDI,54K km, · Diesel, · Manual,"Mileage (ARAI)
21.93 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",,₹4.32 Lakh
3500,2021 Maruti Suzuki S-Presso VXI Plus AT,7K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹4.99 Lakh
3501,2019 Kia Seltos HTX G,39K km, · Petrol, · Manual,,"Mileage (ARAI)
16.8 kmpl
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
113.4 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹12.62 Lakh
3502,2020 Maruti Suzuki S-Presso VXI Plus AT,7K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹4.85 Lakh
